Transponder code,Comport,Transponder type,Transponder type indication,Unit number,Antenna number,Date/time
0007CE0154,COM2 ,Trovan Unique,20,1,1,2020-06-15 10:44:01.083
0007CE0154,COM2 ,Trovan Unique,20,1,1,2020-06-15 10:44:01.339
0007CE0154,COM2 ,Trovan Unique,20,1,1,2020-06-15 10:44:01.494
0007CE0154,COM2 ,Trovan Unique,20,1,1,2020-06-15 10:44:01.643
0007CE0154,COM2 ,Trovan Unique,20,1,1,2020-06-15 10:44:01.794
0007CE0154,COM2 ,Trovan Unique,20,1,1,2020-06-15 10:44:02.000
0007CE0154,COM2 ,Trovan Unique,20,1,1,2020-06-15 10:44:02.148
0007CE0154,COM2 ,Trovan Unique,20,1,1,2020-06-15 10:44:02.298
0007CE0154,COM2 ,Trovan Unique,20,1,1,2020-06-15 10:44:02.450
0007CE0154,COM2 ,Trovan Unique,20,1,1,2020-06-15 10:44:02.600
0007CE0154,COM2 ,Trovan Unique,20,1,1,2020-06-15 10:44:02.752
